Index     Term                DF   
1         0                   6    
2         0000                1    
3         0136                1    
4         015                 6    
5         02                  1    
6         021111206           1    
7         06                  3    
8         07                  1    
9         0for5               1    
10        1                   93   
11        10                  152  
12        100                 60   
13        1000                38   
14        10000               26   
15        100000              24   
16        100000strong        2    
17        10000seat           5    
18        1000yearold         1    
19        10016               1    
20        10017               1    
21        10018               1    
22        1006                1    
23        1008                1    
24        100degre            1    
25        101                 4    
26        10115               1    
27        101150050           1    
28        101162247           1    
29        101mile             1    
30        101milelong         1    
31        1020                5    
32        103                 2    
33        1030                5    
34        1033                1    
35        104                 1    
36        106th               1    
37        107th               2    
38        108                 3    
39        10800               1    
40        10day               1    
41        10minut             1    
42        10monthlong         1    
43        10page              2    
44        10peopl             1    
45        10stori             1    
46        10th                13   
47        10year              12   
48        10yearold           4    
49        11                  65   
50        110                 1    
51        1100                5    
52        11000               3    
53        110degre            1    
54        111                 1    
55        1111                1    
56        1118                3    
57        1120                2    
58        1122                1    
59        1127                1    
60        1130                5    
61        1135                5    
62        113yearold          1    
63        115                 1    
64        1157                1    
65        116                 2    
66        116yearold          6    
67        117                 1    
68        118                 41   
69        118574              3    
70        118man              1    
71        119                 1    
72        1199                1    
73        1199seiu            1    
74        11judg              1    
75        11member            1    
76        11percentag         1    
77        11th                8    
78        11yearold           2    
79        12                  171  
80        120                 3    
81        1200                19   
82        12000               6    
83        1202                1    
84        120member           1    
85        120seat             6    
86        1215                7    
87        123                 3    
88        124                 2    
89        1244                1    
90        1245                1    
91        125                 5    
92        1250                1    
93        125000              3    
94        12501               1    
95        126683              2    
96        128player           1    
97        12gaug              1    
98        12hour              1    
99        12inch              1    
100       12mile              2    
101       12milelong          2    
102       12stori             1    
103       12strong            1    
104       12th                15   
105       12thseed            1    
106       12year              5    
107       12yearold           19   
108       13                  101  
109       130                 2    
110       1300                2    
111       13000               7    
112       131                 7    
113       1314                2    
114       1315                1    
115       132                 1    
116       134                 3    
117       135                 3    
118       135000              1    
119       137133              2    
120       138page             2    
121       139countri          1    
122       13day               1    
123       13match             1    
124       13th                9    
125       13thseed            1    
126       13year              13   
127       14                  53   
128       140                 11   
129       1400                3    
130       14000               5    
131       141000              2    
132       143                 2    
133       1431                1    
134       144                 1    
135       145                 2    
136       1450                1    
137       14500               3    
138       145mile             1    
139       146                 1    
140       14650ton            1    
141       146th               1    
142       147                 2    
143       1498                2    
144       1499                1    
145       14th                2    
146       14thseed            1    
147       14year              3    
148       14yearold           3    
149       15                  68   
150       150                 22   
151       1500                17   
152       15000               13   
153       150000              19   
154       150000plu           1    
155       15000seat           1    
156       1500foot            5    
157       1500mile            2    
158       151                 2    
159       1516                2    
160       152                 1    
161       153                 1    
162       153000              2    
163       1538                6    
164       1545                3    
165       155                 2    
166       15foothigh          3    
167       15hour              5    
168       15minut             6    
169       15month             1    
170       15nation            2    
171       15seed              2    
172       15th                5    
173       15thseed            1    
174       15yearold           1    
175       16                  71   
176       160                 2    
177       1600                3    
178       16000               2    
179       160000              2    
180       16148               3    
181       163000              1    
182       16317               1    
183       1640                1    
184       165                 1    
185       16557               1    
186       168                 1    
187       16inch              1    
188       16member            2    
189       16page              1    
190       16th                2    
191       16thseed            1    
192       16year              1    
193       16yearold           8    
194       17                  190  
195       170                 2    
196       1700                2    
197       170000              1    
198       17061               1    
199       17090               1    
200       172                 1    
201       175                 1    
202       176                 4    
203       176174              1    
204       177                 1    
205       178                 2    
206       1784                1    
207       1792                1    
208       17th                1    
209       17yearold           11   
210       18                  43   
211       180                 2    
212       1800                2    
